                  id; iter;  gen;first; last;vari1;vari2
              S03_80;    1;  101; 2205;-1443; 0,95;97,04
              S03_80;    1;  201; 5113; 3630; 0,06;87,80
              S03_80;    1;  301; 9870; 9870; 0,01;77,52
              S03_80;    1;  401; 9870; 9870; 0,01;76,20
              S03_80;    1;  501; 9870; 9870; 0,01;77,55
              S03_80;    1;  601; 9870; 9870; 0,01;74,86
              S03_80;    1;  701;10265; 9870; 0,03;77,61
              S03_80;    1;  801;16740;12190; 0,72;65,12
              S03_80;    1;  901;53994;43633; 0,97;57,43
              S03_80;    1; 1001;73395;60517; 0,95;49,94
              S03_80;    1; 1101;79930;74945; 0,92;43,88
              S03_80;    1; 1201;84310;81635; 0,81;37,31
              S03_80;    1; 1301;89560;84270; 0,80;33,26
              S03_80;    1; 1401;92315;88830; 0,65;32,09
              S03_80;    1; 1501;94970;93285; 0,62;32,45
              S03_80;    1; 1601;96610;95920; 0,31;28,25
              S03_80;    1; 1701;96920;96720; 0,13;29,84
              S03_80;    1; 1801;97340;97040; 0,15;23,10
              S03_80;    1; 1901;97530;97440; 0,06;25,05
              S03_80;    1; 2001;97830;97580; 0,08;22,71
              S03_80;    1; 2101;97980;97920; 0,03;16,80
              S03_80;    1; 2201;98000;97990; 0,01; 8,97
              S03_80;    1; 2301;98020;98010; 0,02;14,80
              S03_80;    1; 2401;98025;98020; 0,01;13,99
              S03_80;    1; 2501;98025;98025; 0,01;12,27
              S03_80;    1; 2601;98025;98025; 0,01;12,00
              S03_80;    1; 2701;98050;98025; 0,01;13,19
              S03_80;    1; 2801;98060;98050; 0,02; 9,57
              S03_80;    1; 2901;98090;98090; 0,01;10,19
              S03_80;    1; 3001;98090;98090; 0,01;10,23
              S03_80;    1; 3101;98090;98090; 0,01; 9,88
              S03_80;    1; 3201;98100;98100; 0,01; 5,61
              S03_80;    1; 3301;98100;98100; 0,01; 5,86
              S03_80;    1; 3401;98100;98100; 0,01; 5,71
              S03_80;    1; 3501;98100;98100; 0,01; 6,09
              S03_80;    1; 3601;98100;98100; 0,01; 5,88
              S03_80;    1; 3701;98100;98100; 0,01; 6,18
              S03_80;    1; 3801;98100;98100; 0,01; 6,07
              S03_80;    1; 3901;98100;98100; 0,01; 5,65
              S03_80;    1; 4001;98100;98100; 0,01; 5,79
              S03_80;    2;  101; 1210;-2533; 0,97;97,61
              S03_80;    2;  201; 4264; 2100; 0,53;92,50
              S03_80;    2;  301;10410; 5810; 0,25;81,83
              S03_80;    2;  401;10840;10220; 0,03;82,42
              S03_80;    2;  501;13010;11320; 0,28;68,68
              S03_80;    2;  601;19565;18930; 0,12;66,31
              S03_80;    2;  701;21265;20330; 0,20;58,80
              S03_80;    2;  801;28650;27128; 0,52;50,37
              S03_80;    2;  901;36910;29117; 0,81;46,03
              S03_80;    2; 1001;76415;61060; 0,94;46,95
              S03_80;    2; 1101;89740;84185; 0,90;41,30
              S03_80;    2; 1201;94220;93080; 0,36;37,97
              S03_80;    2; 1301;94670;94120; 0,20;33,63
              S03_80;    2; 1401;94915;94380; 0,18;35,57
              S03_80;    2; 1501;95160;95015; 0,08;26,21
              S03_80;    2; 1601;95250;95180; 0,05;23,69
              S03_80;    2; 1701;95625;95250; 0,02;24,68
