                  id; iter;  gen;first; last;vari1;vari2
              S03_10;    1;  101;25896;16890; 0,99;47,70
              S03_10;    1;  201;75405;69190; 0,86;29,73
              S03_10;    1;  301;84980;84500; 0,10;11,50
              S03_10;    1;  401;85440;85345; 0,02; 8,81
              S03_10;    1;  501;85445;85445; 0,01; 4,33
              S03_10;    1;  601;85445;85445; 0,01; 4,47
              S03_10;    1;  701;85445;85445; 0,01; 4,43
              S03_10;    1;  801;85445;85445; 0,01; 4,42
              S03_10;    1;  901;85445;85445; 0,01; 4,69
              S03_10;    1; 1001;85445;85445; 0,01; 4,43
              S03_10;    1; 1101;85445;85445; 0,01; 4,80
              S03_10;    1; 1201;85445;85445; 0,01; 4,82
              S03_10;    1; 1301;85445;85445; 0,01; 4,52
              S03_10;    1; 1401;85445;85445; 0,01; 4,40
              S03_10;    1; 1501;85445;85445; 0,01; 4,66
              S03_10;    1; 1601;85445;85445; 0,01; 4,27
              S03_10;    1; 1701;85445;85445; 0,01; 4,65
              S03_10;    1; 1801;85445;85445; 0,01; 4,36
              S03_10;    1; 1901;85445;85445; 0,01; 4,06
              S03_10;    1; 2001;85445;85445; 0,01; 4,39
              S03_10;    1; 2101;85445;85445; 0,01; 4,49
              S03_10;    1; 2201;85445;85445; 0,01; 4,57
              S03_10;    1; 2301;85445;85445; 0,01; 4,04
              S03_10;    1; 2401;85445;85445; 0,01; 4,19
              S03_10;    1; 2501;85445;85445; 0,01; 4,48
              S03_10;    1; 2601;85445;85445; 0,01; 4,47
              S03_10;    1; 2701;85445;85445; 0,01; 4,59
              S03_10;    1; 2801;85445;85445; 0,01; 4,40
              S03_10;    1; 2901;85445;85445; 0,01; 4,37
              S03_10;    1; 3001;85445;85445; 0,01; 4,52
              S03_10;    1; 3101;85445;85445; 0,01; 4,11
              S03_10;    1; 3201;85445;85445; 0,01; 4,68
              S03_10;    1; 3301;85610;85445; 0,02; 4,40
              S03_10;    1; 3401;85610;85610; 0,01; 4,52
              S03_10;    1; 3501;85610;85610; 0,01; 4,83
              S03_10;    1; 3601;85610;85610; 0,01; 4,51
              S03_10;    1; 3701;85610;85610; 0,01; 4,82
              S03_10;    1; 3801;85610;85610; 0,01; 4,81
              S03_10;    1; 3901;85610;85610; 0,01; 4,88
              S03_10;    1; 4001;85610;85610; 0,01; 4,91
              S03_10;    2;  101;35297;26749; 0,99;45,50
              S03_10;    2;  201;82375;79865; 0,85;29,53
              S03_10;    2;  301;87275;86235; 0,21;17,98
              S03_10;    2;  401;88405;88035; 0,08; 8,03
              S03_10;    2;  501;88490;88490; 0,01; 3,45
              S03_10;    2;  601;88510;88490; 0,01; 4,08
              S03_10;    2;  701;88510;88510; 0,01; 3,32
              S03_10;    2;  801;88510;88510; 0,01; 2,84
              S03_10;    2;  901;88510;88510; 0,01; 3,21
              S03_10;    2; 1001;88510;88510; 0,01; 2,98
              S03_10;    2; 1101;88510;88510; 0,01; 3,35
              S03_10;    2; 1201;88510;88510; 0,01; 3,37
              S03_10;    2; 1301;88510;88510; 0,01; 2,98
              S03_10;    2; 1401;88510;88510; 0,01; 3,48
              S03_10;    2; 1501;88510;88510; 0,01; 3,30
              S03_10;    2; 1601;88510;88510; 0,01; 3,19
              S03_10;    2; 1701;88510;88510; 0,01; 3,08
              S03_10;    2; 1801;88510;88510; 0,01; 3,35
              S03_10;    2; 1901;88510;88510; 0,01; 3,24
              S03_10;    2; 2001;88510;88510; 0,01; 3,19
              S03_10;    2; 2101;88510;88510; 0,01; 3,11
              S03_10;    2; 2201;88510;88510; 0,01; 3,06
              S03_10;    2; 2301;88510;88510; 0,01; 3,14
              S03_10;    2; 2401;88510;88510; 0,01; 3,45
              S03_10;    2; 2501;88510;88510; 0,01; 3,19
              S03_10;    2; 2601;88510;88510; 0,01; 2,97
              S03_10;    2; 2701;88510;88510; 0,01; 3,23
              S03_10;    2; 2801;88510;88510; 0,01; 3,23
              S03_10;    2; 2901;88510;88510; 0,01; 3,30
              S03_10;    2; 3001;88510;88510; 0,01; 3,40
              S03_10;    2; 3101;88510;88510; 0,01; 3,24
              S03_10;    2; 3201;88510;88510; 0,01; 3,24
              S03_10;    2; 3301;88510;88510; 0,01; 3,17
              S03_10;    2; 3401;88510;88510; 0,01; 3,33
              S03_10;    2; 3501;88510;88510; 0,01; 3,28
              S03_10;    2; 3601;88510;88510; 0,01; 3,08
              S03_10;    2; 3701;88510;88510; 0,01; 2,95
              S03_10;    2; 3801;88510;88510; 0,01; 3,17
              S03_10;    2; 3901;88510;88510; 0,01; 3,23
              S03_10;    2; 4001;88510;88510; 0,01; 3,48
              S03_10;    3;  101;10220;10220; 0,01;47,14
              S03_10;    3;  201;10220;10220; 0,01;44,53
              S03_10;    3;  301;10220;10220; 0,01;45,45
              S03_10;    3;  401;10220;10220; 0,01;44,17
              S03_10;    3;  501;10220;10220; 0,01;45,63
              S03_10;    3;  601;10220;10220; 0,01;47,26
              S03_10;    3;  701;10220;10220; 0,01;46,44
              S03_10;    3;  801;10220;10220; 0,01;45,25
              S03_10;    3;  901;10220;10220; 0,01;45,43
              S03_10;    3; 1001;10220;10220; 0,01;45,12
              S03_10;    3; 1101;10220;10220; 0,01;46,81
              S03_10;    3; 1201;10220;10220; 0,01;46,10
              S03_10;    3; 1301;10220;10220; 0,01;45,06
              S03_10;    3; 1401;10220;10220; 0,01;46,52
              S03_10;    3; 1501;10220;10220; 0,01;47,35
              S03_10;    3; 1601;10220;10220; 0,01;47,38
              S03_10;    3; 1701;10220;10220; 0,01;46,65
              S03_10;    3; 1801;10220;10220; 0,01;47,58
              S03_10;    3; 1901;10220;10220; 0,01;46,51
              S03_10;    3; 2001;10220;10220; 0,01;45,95
              S03_10;    3; 2101;10220;10220; 0,01;45,95
              S03_10;    3; 2201;10220;10220; 0,01;44,91
              S03_10;    3; 2301;10220;10220; 0,01;45,31
              S03_10;    3; 2401;10220;10220; 0,01;45,41
              S03_10;    3; 2501;10220;10220; 0,01;44,77
              S03_10;    3; 2601;10220;10220; 0,01;45,72
              S03_10;    3; 2701;10220;10220; 0,01;45,62
              S03_10;    3; 2801;10220;10220; 0,01;47,29
              S03_10;    3; 2901;10220;10220; 0,01;46,64
              S03_10;    3; 3001;10220;10220; 0,01;46,28
              S03_10;    3; 3101;10220;10220; 0,01;46,72
              S03_10;    3; 3201;10220;10220; 0,01;45,62
              S03_10;    3; 3301;10220;10220; 0,01;46,06
              S03_10;    3; 3401;10220;10220; 0,01;47,56
              S03_10;    3; 3501;10220;10220; 0,01;46,95
              S03_10;    3; 3601;10220;10220; 0,01;43,87
              S03_10;    3; 3701;10220;10220; 0,01;47,22
              S03_10;    3; 3801;10220;10220; 0,01;46,81
              S03_10;    3; 3901;10220;10220; 0,01;45,52
              S03_10;    3; 4001;10220;10220; 0,01;46,88
              S03_10;    4;  101;11297;10220; 0,10;47,86
              S03_10;    4;  201;29795;21952; 0,90;34,40
              S03_10;    4;  301;67564;60489; 0,80;22,32
              S03_10;    4;  401;95710;94340; 0,53;15,35
              S03_10;    4;  501;97960;97900; 0,05; 9,83
              S03_10;    4;  601;98270;98240; 0,03; 6,87
              S03_10;    4;  701;98280;98280; 0,01; 7,62
              S03_10;    4;  801;98380;98330; 0,01; 4,77
              S03_10;    4;  901;98400;98400; 0,01; 6,18
              S03_10;    4; 1001;98400;98400; 0,01; 6,02
              S03_10;    4; 1101;98400;98400; 0,01; 5,97
              S03_10;    4; 1201;98400;98400; 0,01; 6,14
              S03_10;    4; 1301;98400;98400; 0,01; 5,99
              S03_10;    4; 1401;98400;98400; 0,01; 6,21
              S03_10;    4; 1501;98400;98400; 0,01; 5,79
              S03_10;    4; 1601;98400;98400; 0,01; 6,05
              S03_10;    4; 1701;98400;98400; 0,01; 6,39
              S03_10;    4; 1801;98400;98400; 0,01; 6,24
              S03_10;    4; 1901;98400;98400; 0,01; 6,16
              S03_10;    4; 2001;98400;98400; 0,01; 6,28
              S03_10;    4; 2101;98400;98400; 0,01; 5,83
              S03_10;    4; 2201;98400;98400; 0,01; 6,38
              S03_10;    4; 2301;98400;98400; 0,01; 6,04
              S03_10;    4; 2401;98400;98400; 0,01; 5,80
              S03_10;    4; 2501;98400;98400; 0,01; 6,04
              S03_10;    4; 2601;98400;98400; 0,01; 6,41
              S03_10;    4; 2701;98400;98400; 0,01; 5,96
              S03_10;    4; 2801;98400;98400; 0,01; 6,06
              S03_10;    4; 2901;98400;98400; 0,01; 5,87
              S03_10;    4; 3001;98400;98400; 0,01; 6,28
              S03_10;    4; 3101;98400;98400; 0,01; 6,04
              S03_10;    4; 3201;98400;98400; 0,01; 6,00
              S03_10;    4; 3301;98400;98400; 0,01; 5,94
              S03_10;    4; 3401;98400;98400; 0,01; 5,94
              S03_10;    4; 3501;98400;98400; 0,01; 6,40
              S03_10;    4; 3601;98400;98400; 0,01; 6,06
              S03_10;    4; 3701;98400;98400; 0,01; 5,67
              S03_10;    4; 3801;98400;98400; 0,01; 5,94
              S03_10;    4; 3901;98400;98400; 0,01; 5,68
              S03_10;    4; 4001;98400;98400; 0,01; 5,96
              S03_10;    5;  101;31501;19287; 0,97;53,34
              S03_10;    5;  201;68245;66015; 0,87;35,23
              S03_10;    5;  301;83945;83440; 0,05;10,46
              S03_10;    5;  401;84310;84310; 0,01; 7,93
              S03_10;    5;  501;84310;84310; 0,01; 8,14
              S03_10;    5;  601;84310;84310; 0,01; 8,08
              S03_10;    5;  701;84310;84310; 0,01; 7,98
              S03_10;    5;  801;84310;84310; 0,01; 8,00
              S03_10;    5;  901;84310;84310; 0,01; 7,29
              S03_10;    5; 1001;84310;84310; 0,01; 7,84
              S03_10;    5; 1101;84310;84310; 0,01; 8,13
              S03_10;    5; 1201;84310;84310; 0,01; 7,35
              S03_10;    5; 1301;84310;84310; 0,01; 7,75
              S03_10;    5; 1401;84310;84310; 0,01; 7,76
              S03_10;    5; 1501;84310;84310; 0,01; 7,73
              S03_10;    5; 1601;84310;84310; 0,01; 7,99
              S03_10;    5; 1701;84310;84310; 0,01; 7,95
              S03_10;    5; 1801;84310;84310; 0,01; 7,46
              S03_10;    5; 1901;84310;84310; 0,01; 7,63
              S03_10;    5; 2001;84310;84310; 0,01; 7,88
              S03_10;    5; 2101;84310;84310; 0,01; 7,67
              S03_10;    5; 2201;84310;84310; 0,01; 7,56
              S03_10;    5; 2301;84310;84310; 0,01; 7,88
              S03_10;    5; 2401;84310;84310; 0,01; 8,03
              S03_10;    5; 2501;84310;84310; 0,01; 7,83
              S03_10;    5; 2601;84310;84310; 0,01; 7,59
