                  id; iter;  gen;first; last;vari1;vari2
             S02_005;    1;  101;38767;31063; 0,93;21,65
             S02_005;    1;  201;82600;79850; 0,64;15,90
             S02_005;    1;  301;90960;90035; 0,43;14,42
             S02_005;    1;  401;93055;92210; 0,09;11,28
             S02_005;    1;  501;93135;93135; 0,01; 7,60
             S02_005;    1;  601;93135;93135; 0,01; 7,93
             S02_005;    1;  701;93135;93135; 0,01; 7,17
             S02_005;    1;  801;93135;93135; 0,01; 7,26
             S02_005;    1;  901;93135;93135; 0,01; 7,03
             S02_005;    1; 1001;93135;93135; 0,01; 7,70
             S02_005;    1; 1101;93135;93135; 0,01; 7,27
             S02_005;    1; 1201;93135;93135; 0,01; 7,33
             S02_005;    1; 1301;93135;93135; 0,01; 7,52
             S02_005;    1; 1401;93135;93135; 0,01; 7,46
             S02_005;    1; 1501;93135;93135; 0,01; 7,63
             S02_005;    1; 1601;93135;93135; 0,01; 7,78
             S02_005;    1; 1701;93135;93135; 0,01; 7,08
             S02_005;    1; 1801;93135;93135; 0,01; 7,49
             S02_005;    1; 1901;93135;93135; 0,01; 7,57
             S02_005;    1; 2001;93135;93135; 0,01; 7,51
             S02_005;    1; 2101;93135;93135; 0,01; 7,70
             S02_005;    1; 2201;93135;93135; 0,01; 7,63
             S02_005;    1; 2301;93135;93135; 0,01; 7,15
             S02_005;    1; 2401;93135;93135; 0,01; 7,49
             S02_005;    1; 2501;93135;93135; 0,01; 7,70
             S02_005;    1; 2601;93135;93135; 0,01; 7,35
             S02_005;    1; 2701;93135;93135; 0,01; 7,32
             S02_005;    1; 2801;93135;93135; 0,01; 7,40
             S02_005;    1; 2901;93135;93135; 0,01; 7,21
             S02_005;    1; 3001;93135;93135; 0,01; 7,68
             S02_005;    1; 3101;93135;93135; 0,01; 7,77
             S02_005;    1; 3201;93135;93135; 0,01; 7,46
             S02_005;    1; 3301;93135;93135; 0,01; 7,27
             S02_005;    1; 3401;93135;93135; 0,01; 7,64
             S02_005;    1; 3501;93135;93135; 0,01; 7,63
             S02_005;    1; 3601;93135;93135; 0,01; 7,24
             S02_005;    1; 3701;93135;93135; 0,01; 7,09
             S02_005;    1; 3801;93135;93135; 0,01; 7,64
             S02_005;    1; 3901;93135;93135; 0,01; 7,58
             S02_005;    1; 4001;93135;93135; 0,01; 7,38
             S02_005;    2;  101;31819;25127; 0,90;27,77
             S02_005;    2;  201;82005;77970; 0,75;19,48
             S02_005;    2;  301;96180;95895; 0,09;14,17
             S02_005;    2;  401;96910;96870; 0,04;13,04
             S02_005;    2;  501;97050;97020; 0,02;10,93
             S02_005;    2;  601;97460;97295; 0,06;11,83
             S02_005;    2;  701;97480;97480; 0,01; 9,84
             S02_005;    2;  801;97480;97480; 0,01; 9,96
             S02_005;    2;  901;97480;97480; 0,01; 9,34
             S02_005;    2; 1001;97480;97480; 0,01; 9,84
             S02_005;    2; 1101;97480;97480; 0,01;10,03
             S02_005;    2; 1201;97480;97480; 0,01;10,02
             S02_005;    2; 1301;97480;97480; 0,01;10,10
             S02_005;    2; 1401;97480;97480; 0,01; 9,85
             S02_005;    2; 1501;97480;97480; 0,01;10,44
             S02_005;    2; 1601;97480;97480; 0,01; 9,71
             S02_005;    2; 1701;97480;97480; 0,01; 9,88
             S02_005;    2; 1801;97480;97480; 0,01; 9,59
             S02_005;    2; 1901;97480;97480; 0,01; 9,75
             S02_005;    2; 2001;97480;97480; 0,01; 9,88
             S02_005;    2; 2101;97480;97480; 0,01; 9,54
             S02_005;    2; 2201;97480;97480; 0,01;10,08
             S02_005;    2; 2301;97480;97480; 0,01; 9,10
             S02_005;    2; 2401;97480;97480; 0,01; 9,43
             S02_005;    2; 2501;97480;97480; 0,01; 9,65
             S02_005;    2; 2601;97480;97480; 0,01;10,08
             S02_005;    2; 2701;97480;97480; 0,01; 9,81
             S02_005;    2; 2801;97480;97480; 0,01;10,51
             S02_005;    2; 2901;97480;97480; 0,01; 9,87
             S02_005;    2; 3001;97480;97480; 0,01; 9,39
             S02_005;    2; 3101;97480;97480; 0,01; 9,82
             S02_005;    2; 3201;97480;97480; 0,01; 9,40
             S02_005;    2; 3301;97480;97480; 0,01;10,27
             S02_005;    2; 3401;97480;97480; 0,01; 9,77
             S02_005;    2; 3501;97480;97480; 0,01; 9,84
             S02_005;    2; 3601;97480;97480; 0,01; 9,80
             S02_005;    2; 3701;97480;97480; 0,01; 9,43
             S02_005;    2; 3801;97480;97480; 0,01; 9,93
             S02_005;    2; 3901;97480;97480; 0,01;10,15
             S02_005;    2; 4001;97480;97480; 0,01;10,33
             S02_005;    3;  101;25219;21075; 0,80;16,96
             S02_005;    3;  201;79045;71718; 0,91;17,75
             S02_005;    3;  301;85485;84610; 0,26;13,98
             S02_005;    3;  401;86355;86275; 0,01; 7,70
             S02_005;    3;  501;86355;86355; 0,01; 6,59
             S02_005;    3;  601;86355;86355; 0,01; 6,51
             S02_005;    3;  701;86355;86355; 0,01; 6,44
             S02_005;    3;  801;86355;86355; 0,01; 6,61
             S02_005;    3;  901;86355;86355; 0,01; 6,47
             S02_005;    3; 1001;86355;86355; 0,01; 6,37
             S02_005;    3; 1101;86355;86355; 0,01; 6,90
             S02_005;    3; 1201;86355;86355; 0,01; 7,13
             S02_005;    3; 1301;86355;86355; 0,01; 6,46
             S02_005;    3; 1401;86355;86355; 0,01; 7,05
             S02_005;    3; 1501;86355;86355; 0,01; 6,53
             S02_005;    3; 1601;86355;86355; 0,01; 6,73
             S02_005;    3; 1701;86355;86355; 0,01; 6,65
             S02_005;    3; 1801;86355;86355; 0,01; 6,30
             S02_005;    3; 1901;86355;86355; 0,01; 6,59
             S02_005;    3; 2001;86355;86355; 0,01; 6,62
             S02_005;    3; 2101;86355;86355; 0,01; 6,90
             S02_005;    3; 2201;86355;86355; 0,01; 6,80
             S02_005;    3; 2301;86355;86355; 0,01; 6,78
             S02_005;    3; 2401;86355;86355; 0,01; 6,50
             S02_005;    3; 2501;86355;86355; 0,01; 6,58
             S02_005;    3; 2601;86355;86355; 0,01; 7,15
             S02_005;    3; 2701;86355;86355; 0,01; 6,51
             S02_005;    3; 2801;86355;86355; 0,01; 6,46
             S02_005;    3; 2901;86355;86355; 0,01; 6,38
             S02_005;    3; 3001;86355;86355; 0,01; 6,56
             S02_005;    3; 3101;86355;86355; 0,01; 6,60
             S02_005;    3; 3201;86355;86355; 0,01; 6,48
             S02_005;    3; 3301;86355;86355; 0,01; 6,49
             S02_005;    3; 3401;86355;86355; 0,01; 6,50
             S02_005;    3; 3501;86355;86355; 0,01; 6,62
             S02_005;    3; 3601;86355;86355; 0,01; 6,38
             S02_005;    3; 3701;86355;86355; 0,01; 6,32
             S02_005;    3; 3801;86355;86355; 0,01; 6,64
             S02_005;    3; 3901;86355;86355; 0,01; 6,67
             S02_005;    3; 4001;86355;86355; 0,01; 6,67
             S02_005;    4;  101;30793;24704; 0,94;19,19
             S02_005;    4;  201;80515;76735; 0,71;17,47
             S02_005;    4;  301;92670;91770; 0,33;17,86
             S02_005;    4;  401;93645;93515; 0,02; 7,63
             S02_005;    4;  501;94520;94130; 0,05;11,30
             S02_005;    4;  601;95950;95600; 0,12;10,19
             S02_005;    4;  701;95970;95970; 0,01; 8,21
             S02_005;    4;  801;95970;95970; 0,01; 8,64
             S02_005;    4;  901;95970;95970; 0,01; 8,80
             S02_005;    4; 1001;95970;95970; 0,01; 8,27
             S02_005;    4; 1101;95970;95970; 0,01; 8,27
             S02_005;    4; 1201;95970;95970; 0,01; 7,92
             S02_005;    4; 1301;96105;95970; 0,01; 8,64
             S02_005;    4; 1401;96110;96110; 0,01; 7,16
             S02_005;    4; 1501;96110;96110; 0,01; 7,35
             S02_005;    4; 1601;96110;96110; 0,01; 7,57
