                  id; iter;  gen;first; last;vari1;vari2
             S02_005;    1;  101;10171; 8307; 0,45;20,57
             S02_005;    1;  201;49036;45315; 0,82;22,17
             S02_005;    1;  301;76075;73340; 0,63;11,52
             S02_005;    1;  401;85605;85115; 0,06; 4,79
             S02_005;    1;  501;85910;85830; 0,02; 4,48
             S02_005;    1;  601;85920;85920; 0,01; 5,41
             S02_005;    1;  701;85920;85920; 0,01; 5,43
             S02_005;    1;  801;85920;85920; 0,01; 5,45
             S02_005;    1;  901;85920;85920; 0,01; 5,15
             S02_005;    1; 1001;85920;85920; 0,01; 5,56
             S02_005;    1; 1101;85920;85920; 0,01; 5,38
             S02_005;    1; 1201;85920;85920; 0,01; 5,23
             S02_005;    1; 1301;85920;85920; 0,01; 5,45
             S02_005;    1; 1401;85920;85920; 0,01; 5,17
             S02_005;    1; 1501;85920;85920; 0,01; 5,62
             S02_005;    1; 1601;85920;85920; 0,01; 5,28
             S02_005;    1; 1701;85920;85920; 0,01; 5,44
             S02_005;    1; 1801;85920;85920; 0,01; 5,49
             S02_005;    1; 1901;85920;85920; 0,01; 5,26
             S02_005;    1; 2001;85920;85920; 0,01; 5,05
             S02_005;    1; 2101;85920;85920; 0,01; 5,48
             S02_005;    1; 2201;85920;85920; 0,01; 5,30
             S02_005;    1; 2301;85920;85920; 0,01; 5,56
             S02_005;    1; 2401;85920;85920; 0,01; 5,24
             S02_005;    1; 2501;85920;85920; 0,01; 5,45
             S02_005;    1; 2601;85920;85920; 0,01; 5,30
             S02_005;    1; 2701;85920;85920; 0,01; 5,45
             S02_005;    1; 2801;85920;85920; 0,01; 5,67
             S02_005;    1; 2901;85920;85920; 0,01; 5,38
             S02_005;    1; 3001;85920;85920; 0,01; 5,26
             S02_005;    1; 3101;85920;85920; 0,01; 5,35
             S02_005;    1; 3201;85920;85920; 0,01; 5,34
             S02_005;    1; 3301;85920;85920; 0,01; 5,48
             S02_005;    1; 3401;85920;85920; 0,01; 5,09
             S02_005;    1; 3501;85920;85920; 0,01; 4,98
             S02_005;    1; 3601;85920;85920; 0,01; 5,62
             S02_005;    1; 3701;85920;85920; 0,01; 5,46
             S02_005;    1; 3801;85920;85920; 0,01; 5,55
             S02_005;    1; 3901;85920;85920; 0,01; 5,36
             S02_005;    1; 4001;85920;85920; 0,01; 5,54
             S02_005;    2;  101; 8561; 6135; 0,59;24,75
             S02_005;    2;  201;56435;52105; 0,71;20,74
             S02_005;    2;  301;81865;80765; 0,24;16,59
             S02_005;    2;  401;82545;82545; 0,01; 6,17
             S02_005;    2;  501;82545;82545; 0,01; 6,35
             S02_005;    2;  601;82545;82545; 0,01; 6,40
             S02_005;    2;  701;82545;82545; 0,01; 6,66
