                  id; iter;  gen;first; last;vari1;vari2
               S04_R;    1;  101; -386;-6814; 0,98;102,43
               S04_R;    1;  201; 3366; 1080; 0,67;95,60
               S04_R;    1;  301; 5360; 3630; 0,15;87,13
               S04_R;    1;  401; 9870; 9280; 0,02;77,39
               S04_R;    1;  501; 9906; 9870; 0,01;74,96
               S04_R;    1;  601;10910;10390; 0,08;61,16
               S04_R;    1;  701;17990;14525; 0,03;66,74
               S04_R;    1;  801;18490;18490; 0,01;66,45
               S04_R;    1;  901;18490;18490; 0,01;68,04
               S04_R;    1; 1001;18490;18490; 0,01;68,75
               S04_R;    1; 1101;18490;18490; 0,01;67,34
               S04_R;    1; 1201;18490;18490; 0,01;64,42
               S04_R;    1; 1301;18490;18490; 0,01;68,37
               S04_R;    1; 1401;18490;18490; 0,01;67,37
               S04_R;    1; 1501;18490;18490; 0,01;66,78
               S04_R;    1; 1601;18490;18490; 0,01;64,55
               S04_R;    1; 1701;18490;18490; 0,01;67,39
               S04_R;    1; 1801;18490;18490; 0,01;67,02
               S04_R;    1; 1901;18490;18490; 0,01;68,13
               S04_R;    1; 2001;18490;18490; 0,01;67,78
               S04_R;    1; 2101;18490;18490; 0,01;68,73
               S04_R;    1; 2201;19280;18920; 0,09;26,37
               S04_R;    1; 2301;43905;34305; 0,94;43,78
               S04_R;    1; 2401;83130;76640; 0,89;40,04
               S04_R;    1; 2501;95255;93110; 0,48;31,28
               S04_R;    1; 2601;96120;96020; 0,10;27,36
               S04_R;    1; 2701;96380;96310; 0,05;19,91
               S04_R;    1; 2801;96580;96580; 0,01;13,65
               S04_R;    1; 2901;96600;96590; 0,01;13,03
               S04_R;    1; 3001;96600;96600; 0,01;16,27
               S04_R;    1; 3101;96600;96600; 0,01;15,41
               S04_R;    1; 3201;96600;96600; 0,01;15,91
               S04_R;    1; 3301;96600;96600; 0,01;16,66
               S04_R;    1; 3401;96600;96600; 0,01;15,44
               S04_R;    1; 3501;96600;96600; 0,01;16,22
               S04_R;    1; 3601;96600;96600; 0,01;15,37
               S04_R;    1; 3701;96600;96600; 0,01;15,83
               S04_R;    1; 3801;96600;96600; 0,01;15,86
               S04_R;    1; 3901;96600;96600; 0,01;15,94
               S04_R;    1; 4001;96600;96600; 0,01;16,05
               S04_R;    2;  101; 1840;-5117; 0,99;99,87
               S04_R;    2;  201; 3630; 1840; 0,28;89,03
               S04_R;    2;  301; 5120; 3630; 0,37;83,82
               S04_R;    2;  401;10530; 9870; 0,01;81,51
               S04_R;    2;  501;11840;10030; 0,26;67,14
               S04_R;    2;  601;18490;17420; 0,03;71,83
               S04_R;    2;  701;19077;18490; 0,02;70,58
               S04_R;    2;  801;19735;18490; 0,73;53,65
               S04_R;    2;  901;23870;20790; 0,83;61,37
               S04_R;    2; 1001;59858;34413; 1,00;55,38
               S04_R;    2; 1101;64232;59370; 0,96;50,79
               S04_R;    2; 1201;78944;68571; 0,98;50,87
               S04_R;    2; 1301;83570;79100; 0,86;45,56
               S04_R;    2; 1401;87685;82720; 0,88;42,94
               S04_R;    2; 1501;92855;87230; 0,76;42,00
               S04_R;    2; 1601;95785;94575; 0,52;37,49
               S04_R;    2; 1701;96700;95645; 0,57;35,49
               S04_R;    2; 1801;97055;96710; 0,29;30,00
               S04_R;    2; 1901;97275;97180; 0,08;27,38
               S04_R;    2; 2001;97460;97380; 0,05;22,58
               S04_R;    2; 2101;97570;97460; 0,05;23,65
               S04_R;    2; 2201;97975;97570; 0,24;21,29
               S04_R;    2; 2301;98020;97985; 0,04;21,53
               S04_R;    2; 2401;98060;98020; 0,04;19,66
               S04_R;    2; 2501;98065;98060; 0,01;16,28
               S04_R;    2; 2601;98090;98075; 0,02;17,26
               S04_R;    2; 2701;98125;98115; 0,02;13,85
               S04_R;    2; 2801;98130;98125; 0,01;12,99
               S04_R;    2; 2901;98130;98130; 0,01;12,60
               S04_R;    2; 3001;98130;98130; 0,01;12,78
               S04_R;    2; 3101;98130;98130; 0,01;12,47
               S04_R;    2; 3201;98130;98130; 0,01;12,86
               S04_R;    2; 3301;98130;98130; 0,01;12,14
               S04_R;    2; 3401;98130;98130; 0,01;12,11
               S04_R;    2; 3501;98130;98130; 0,01;13,08
               S04_R;    2; 3601;98130;98130; 0,01;13,18
               S04_R;    2; 3701;98130;98130; 0,01;12,51
               S04_R;    2; 3801;98130;98130; 0,01;12,63
               S04_R;    2; 3901;98130;98130; 0,01;12,26
               S04_R;    2; 4001;98130;98130; 0,01;12,40
               S04_R;    3;  101;  820;-5624; 0,98;100,93
               S04_R;    3;  201; 2745; 1132; 0,67;95,99
               S04_R;    3;  301; 5820; 4070; 0,31;82,47
               S04_R;    3;  401;10220;10220; 0,01;77,81
               S04_R;    3;  501;10220;10220; 0,01;76,49
               S04_R;    3;  601;10220;10220; 0,01;78,53
               S04_R;    3;  701;10220;10220; 0,01;78,84
               S04_R;    3;  801;10220;10220; 0,01;80,16
               S04_R;    3;  901;10220;10220; 0,01;79,27
               S04_R;    3; 1001;10220;10220; 0,01;78,60
               S04_R;    3; 1101;10220;10220; 0,01;78,96
               S04_R;    3; 1201;10950;10220; 0,15;78,55
               S04_R;    3; 1301;17462;14675; 0,73;51,62
               S04_R;    3; 1401;51281;35970; 0,99;51,63
               S04_R;    3; 1501;65370;61670; 0,85;41,18
               S04_R;    3; 1601;79490;73240; 0,89;40,58
               S04_R;    3; 1701;82445;80095; 0,78;45,49
               S04_R;    3; 1801;84835;82445; 0,72;40,36
               S04_R;    3; 1901;85490;84330; 0,50;34,52
               S04_R;    3; 2001;85510;84970; 0,25;25,36
               S04_R;    3; 2101;85725;85490; 0,04;22,65
               S04_R;    3; 2201;86450;85690; 0,16;24,20
               S04_R;    3; 2301;87935;86720; 0,35;23,51
               S04_R;    3; 2401;88905;87985; 0,38;29,64
               S04_R;    3; 2501;89545;88725; 0,26;31,92
